trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
411,False,"{'a': 0.1152671658980635, 'e': 0.06403731438781306}",20,15,9.708757247363142,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.11469083006857318, 'e': 0.06371712781587399}",20,5,25.104474803565118,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.11411737591823032, 'e': 0.06339854217679462}",25,20,11.112940200992936,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.11354678903863916, 'e': 0.06308154946591064}",20,13,2.407349946293429,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
415,False,"{'a': 0.11297905509344597, 'e': 0.0627661417185811}",20,0,31.293221203974383,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
416,False,"{'a': 0.11241415981797874, 'e': 0.06245231100998819}",25,15,7.180908512645804,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
417,False,"{'a': 0.11185208901888885, 'e': 0.06214004945493825}",25,15,17.175149631370225,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.11129282857379441, 'e': 0.06182934920766356}",35,17,-7.9914946440690615,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
419,False,"{'a': 0.11073636443092544, 'e': 0.06152020246162524}",30,11,5.343725592534924,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
420,False,"{'a': 0.1101826826087708, 'e': 0.06121260144931711}",25,14,-29.58860628676257,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
421,False,"{'a': 0.10963176919572695, 'e': 0.06090653844207053}",25,2,26.220993427972527,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
422,False,"{'a': 0.10908361034974831, 'e': 0.060602005749860174}",25,11,24.45303995320592,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.10853819229799958, 'e': 0.06029899572111087}",25,11,14.501192783157087,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
424,False,"{'a': 0.10799550133650958, 'e': 0.059997500742505316}",20,3,25.37778354425067,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.10745552382982702, 'e': 0.05969751323879279}",30,13,-14.742184513265983,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
426,False,"{'a': 0.10691824621067789, 'e': 0.059399025672598825}",20,10,21.17923354737628,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.1063836549796245, 'e': 0.05910203054423583}",20,15,10.179123445749372,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.10585173670472638, 'e': 0.058806520391514655}",25,13,24.078809726442596,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.10532247802120275, 'e': 0.05851248778955708}",20,11,18.121938455380835,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.10479586563109672, 'e': 0.05821992535060929}",25,6,25.03627911398734,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.10427188630294125, 'e': 0.05792882572385625}",20,15,10.45758606588688,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
